Roll No,student_name,gender,dob,class_teacher,maths,english,kiswahili,physics,chemistry,biology,geography,history,agriculture,computer,attendance (%),average,grade
1,Denise Nelson,male,11/23/1999,Mr. Smith,20,36,65,10,88,20,51,30,53,77,30,43.38,D+
2,James Bailey,female,08-07-96,Mrs. Davis,21,65,44,55,60,92,3,74,60,70,85,55.92,B-
3,Justin Webb,male,10/28/2003,Mrs. Davis,84,59,23,57,53,22,59,33,0,24,50,35.85,D
4,Miss Victoria James,female,3/25/1997,Mr. Smith,27,24,84,51,59,89,21,46,75,6,20,45.62,C-
5,Diana Logan,male,3/24/2000,Mrs. Davis,5,100,18,26,23,89,44,68,81,88,65,52,C
6,Ashley Rubio,male,9/20/2006,Mrs. Davis,2,26,56,68,66,78,37,100,19,50,85,52.54,C
7,Kenneth Johnson,female,9/17/2008,Mrs. Davis,1,82,62,58,7,88,47,1,25,27,25,45.31,C-
8,Brittany Lewis,female,9/29/2009,Mrs. Davis,30,19,87,82,91,82,44,75,69,39,50,61.92,B
9,Linda Thompson,male,9/16/2010,Mrs. Davis,73,7,20,100,0,66,93,65,73,56,35,53.85,C
10,Anthony Simpson,female,08-11-01,Ms. Johnson,58,38,30,37,35,61,85,16,51,37,40,36.15,D
11,Mr. Robert Cruz Jr.,male,01-12-09,Mr. Smith,16,33,13,25,98,70,58,70,56,97,85,46.54,C-
12,John Sharp,female,11/24/1992,Mr. Brown,6,22,48,94,99,6,58,29,59,7,85,46.77,C-
13,Christopher Gutierrez,male,11/27/1992,Mr. Smith,72,26,62,27,18,43,50,8,23,79,75,46.92,C-
14,Mr. Willie Farmer,male,6/29/2003,Mr. Smith,57,31,45,4,100,35,64,60,45,26,15,48.92,C-
15,Andre Bush,female,11/28/2004,Mr. Brown,41,4,99,75,69,95,40,8,35,93,35,58.69,B-
16,Mr. Kurt Jackson MD,male,11/14/2009,Mr. Brown,58,88,48,31,97,4,17,85,14,85,70,48.08,C-
17,Thomas Williams,female,3/29/2003,Mr. Brown,93,80,75,67,2,54,26,86,0,85,60,52.15,C
18,Deborah Pineda,male,12/23/1998,Ms. Johnson,66,3,68,36,56,43,49,48,73,40,10,49.62,C-
19,Eric Herrera,male,08-10-99,Mrs. Davis,100,27,64,97,0,67,81,58,21,7,55,49.77,C-
